单号,area,weight,date,cp,fee
YT6225382800802,山西省,0.86,2022-01-01,廊坊中通,2.4
YT6225568524311,北京,1.19,2022-01-01,廊坊中通,3.4
YT6225575344892,河北省,1.26,2022-01-01,廊坊中通,2.9
YT6225575343633,河北省,1.52,2022-01-01,廊坊中通,2.9
YT6225575343541,北京,1.59,2022-01-01,廊坊中通,3.4
YT6225895739928,北京,1.8,2022-01-01,廊坊中通,3.4
YT6225878233126,河北省,1.85,2022-01-01,廊坊中通,2.9
YT9922611535493,天津,2.08,2022-01-01,廊坊中通,3.4
YT6225568524431,河北省,2.23,2022-01-01,廊坊中通,3.4
YT9922345507975,河北省,2.4,2022-01-01,廊坊中通,3.4
YT6225763128462,北京,2.45,2022-01-01,廊坊中通,3.9
YT6225759127051,河北省,2.49,2022-01-01,廊坊中通,3.4
YT6225769657400,天津,2.79,2022-01-01,廊坊中通,3.4
YT6225759127528,山西省,2.79,2022-01-01,廊坊中通,3.4
YT6224556853040,河北省,2.8,2022-01-01,廊坊中通,3.4
YT6224556852991,河北省,2.82,2022-01-01,廊坊中通,3.4
YT6225759127453,河北省,2.9,2022-01-01,廊坊中通,3.4
YT6225759127369,天津,2.93,2022-01-01,廊坊中通,3.4
YT6225759126850,河北省,2.95,2022-01-01,廊坊中通,3.4
YT6225759127128,河北省,2.95,2022-01-01,廊坊中通,3.4
YT6224556850740,北京,2.96,2022-01-01,廊坊中通,3.9
YT6225759127258,山西省,2.98,2022-01-01,廊坊中通,3.4
YT6225759126916,河北省,2.98,2022-01-01,廊坊中通,3.4
YT6225759126748,河北省,3,2022-01-01,廊坊中通,3.4
YT6225437481910,山西省,3,2022-01-01,廊坊中通,3.4
YT6224497489918,河北省,3.03,2022-01-01,廊坊中通,5.3
YT6225568524284,河北省,3.06,2022-01-01,廊坊中通,5.3
YT9922536822475,山西省,3.12,2022-01-01,廊坊中通,5.3
YT9922536824407,山西省,3.13,2022-01-01,廊坊中通,5.3
YT9922536817182,河北省,3.22,2022-01-01,廊坊中通,5.3
YT6224557818199,河北省,3.23,2022-01-01,廊坊中通,5.3
YT6224497490055,山西省,3.26,2022-01-01,廊坊中通,5.3
YT9922536813270,山西省,3.34,2022-01-01,廊坊中通,5.3
YT9922536574242,北京,3.35,2022-01-01,廊坊中通,5.8
YT1412342204282,河北省,3.36,2022-01-01,廊坊中通,5.3
YT1412637875139,河北省,3.39,2022-01-01,廊坊中通,5.3
YT6224557817586,河北省,3.39,2022-01-01,廊坊中通,5.3
YT6224557817635,山西省,3.51,2022-01-01,廊坊中通,5.3
YT6224559290935,山西省,3.58,2022-01-01,廊坊中通,5.3
YT6224557817311,北京,3.6,2022-01-01,廊坊中通,5.8
YT6224559290800,河北省,3.6,2022-01-01,廊坊中通,5.3
YT6224557817808,北京,3.6,2022-01-01,廊坊中通,5.8
YT6224556850646,河北省,3.62,2022-01-01,廊坊中通,5.3
YT9916866050044,山西省,3.62,2022-01-01,廊坊中通,5.3
YT6224556850466,山西省,3.63,2022-01-01,廊坊中通,5.3
YT6224556850540,天津,3.63,2022-01-01,廊坊中通,5.3
YT6224556850100,河北省,3.66,2022-01-01,廊坊中通,5.3
YT6225763128639,河北省,3.85,2022-01-01,廊坊中通,5.3
YT6224557818220,河北省,3.97,2022-01-01,廊坊中通,5.3
YT6225767607190,河北省,4.03,2022-01-01,廊坊中通,5.3
YT6222678484827,河北省,4.05,2022-01-01,廊坊中通,5.3
YT6222698011682,河北省,4.07,2022-01-01,廊坊中通,5.3
YT6222670874857,河北省,4.11,2022-01-01,廊坊中通,5.3
YT6224557818068,河北省,4.13,2022-01-01,廊坊中通,5.3
YT6222665595904,河北省,4.14,2022-01-01,廊坊中通,5.3
YT9922536813586,天津,4.25,2022-01-01,廊坊中通,5.3
YT9922536859401,山西省,4.3,2022-01-01,廊坊中通,5.3
YT6224557817791,山西省,4.32,2022-01-01,廊坊中通,5.3
YT9916866049949,河北省,4.34,2022-01-01,廊坊中通,5.3
YT9922536862322,河北省,4.34,2022-01-01,廊坊中通,5.3
YT9922536873097,河北省,4.35,2022-01-01,廊坊中通,5.3
YT6225763128539,天津,4.36,2022-01-01,廊坊中通,5.3
YT6225763128382,北京,4.37,2022-01-01,廊坊中通,5.8
YT6224557817908,河北省,4.37,2022-01-01,廊坊中通,5.3
YT9922536829650,河北省,4.38,2022-01-01,廊坊中通,5.3
YT6225758399057,河北省,4.41,2022-01-01,廊坊中通,5.3
YT9922536846741,河北省,4.43,2022-01-01,廊坊中通,5.3
YT9922536813733,天津,4.44,2022-01-01,廊坊中通,5.3
YT6224557817400,北京,4.45,2022-01-01,廊坊中通,5.8
YT6225759126600,北京,4.46,2022-01-01,廊坊中通,5.8
YT9922536853232,天津,4.47,2022-01-01,廊坊中通,5.3
YT9922536861690,河北省,4.48,2022-01-01,廊坊中通,5.3
YT9922536582114,山西省,4.54,2022-01-01,廊坊中通,5.3
YT9922536846491,河北省,4.62,2022-01-01,廊坊中通,5.3
YT6224497489866,天津,4.66,2022-01-01,廊坊中通,5.3
YT9922345509611,河北省,4.74,2022-01-01,廊坊中通,5.3
YT6224813086987,河北省,5.59,2022-01-01,廊坊中通,13.8
YT9916350977751,河北省,6.44,2022-01-01,廊坊中通,15.6
YT9916350859066,河北省,6.44,2022-01-01,廊坊中通,15.6
YT9916350848324,吉林省,6.45,2022-01-01,廊坊中通,15.6
YT9916779400534,河北省,6.46,2022-01-01,廊坊中通,15.6
YT9916350850886,河北省,6.47,2022-01-01,廊坊中通,15.6
YT9916350981609,河北省,6.48,2022-01-01,廊坊中通,15.6
YT9916350824914,吉林省,6.48,2022-01-01,廊坊中通,15.6
YT9916779541349,河北省,6.64,2022-01-01,廊坊中通,15.6
YT6225764478673,河北省,1.9,2022-01-01,廊坊中通,2.9
YT6227877342933,河北省,2.24,2022-01-02,廊坊中通,3.4
YT6227877459804,山西省,2.26,2022-01-02,廊坊中通,3.4
YT6227877460187,山西省,2.26,2022-01-02,廊坊中通,3.4
YT9921411310522,河北省,2.26,2022-01-02,廊坊中通,3.4
YT6227877460545,河北省,2.29,2022-01-02,廊坊中通,3.4
YT6227877343391,北京,2.3,2022-01-02,廊坊中通,3.9
YT9921057736657,北京,2.3,2022-01-02,廊坊中通,3.9
YT6227875853084,山西省,2.31,2022-01-02,廊坊中通,3.4
YT6227877460460,山西省,2.32,2022-01-02,廊坊中通,3.4
YT9921057648687,天津,2.32,2022-01-02,廊坊中通,3.4
YT6227877459798,河北省,2.33,2022-01-02,廊坊中通,3.4
YT6227877460000,山西省,2.34,2022-01-02,廊坊中通,3.4
YT6228324582156,山西省,2.34,2022-01-02,廊坊中通,3.4
YT9921057640097,天津,2.34,2022-01-02,廊坊中通,3.4
YT9921057790411,天津,2.34,2022-01-02,廊坊中通,3.4
YT6227877343596,河北省,2.35,2022-01-02,廊坊中通,3.4
YT9921057745300,天津,2.35,2022-01-02,廊坊中通,3.4
YT9921057808718,天津,2.36,2022-01-02,廊坊中通,3.4
YT6227662817286,天津,2.39,2022-01-02,廊坊中通,3.4
YT6227877459972,山西省,2.43,2022-01-02,廊坊中通,3.4
YT6227875853163,山西省,2.47,2022-01-02,廊坊中通,3.4
YT6228324581922,北京,2.5,2022-01-02,廊坊中通,3.9
YT9920537837080,山西省,2.58,2022-01-02,廊坊中通,3.4
YT6227880329948,河北省,2.6,2022-01-02,廊坊中通,3.4
YT6227880330007,河北省,2.62,2022-01-02,廊坊中通,3.4
YT9920537779484,山西省,2.65,2022-01-02,廊坊中通,3.4
YT6227668097618,河北省,2.77,2022-01-02,廊坊中通,3.4
YT6228737963256,山西省,2.77,2022-01-02,廊坊中通,3.4
YT6228329800398,山西省,2.78,2022-01-02,廊坊中通,3.4
YT9920729733351,河北省,2.78,2022-01-02,廊坊中通,3.4
YT6227665081016,河北省,2.79,2022-01-02,廊坊中通,3.4
YT6227668097368,北京,2.79,2022-01-02,廊坊中通,3.9
YT6228737963377,天津,2.79,2022-01-02,廊坊中通,3.4
YT6227671208124,河北省,2.8,2022-01-02,廊坊中通,3.4
YT6227878155129,河北省,2.8,2022-01-02,廊坊中通,3.4
YT6227665081216,河北省,2.81,2022-01-02,廊坊中通,3.4
YT6228256191873,河北省,2.81,2022-01-02,廊坊中通,3.4
YT6228732649679,天津,2.81,2022-01-02,廊坊中通,3.4
YT6227659136859,河北省,2.83,2022-01-02,廊坊中通,3.4
YT6227662817662,山西省,2.83,2022-01-02,廊坊中通,3.4
YT6227668097523,河北省,2.84,2022-01-02,廊坊中通,3.4
YT6227671208080,山西省,2.84,2022-01-02,廊坊中通,3.4
YT6227875852937,北京,2.84,2022-01-02,廊坊中通,3.9
YT6227885773255,河北省,2.84,2022-01-02,廊坊中通,3.4
YT9920729733466,河北省,2.84,2022-01-02,廊坊中通,3.4
YT6227665081104,天津,2.85,2022-01-02,廊坊中通,3.4
YT6228732649760,天津,2.85,2022-01-02,廊坊中通,3.4
YT6227668097477,河北省,2.86,2022-01-02,廊坊中通,3.4
YT6227875852816,河北省,2.86,2022-01-02,廊坊中通,3.4
YT6228250862868,北京,2.88,2022-01-02,廊坊中通,3.9
YT6228329800466,山西省,2.88,2022-01-02,廊坊中通,3.4
YT6227663585666,天津,2.89,2022-01-02,廊坊中通,3.4
YT6227604312043,山西省,2.9,2022-01-02,廊坊中通,3.4
YT6227663585734,河北省,2.93,2022-01-02,廊坊中通,3.4
YT6227662817175,河北省,2.94,2022-01-02,廊坊中通,3.4
YT6227662817390,河北省,2.94,2022-01-02,廊坊中通,3.4
YT6227667317300,山西省,2.94,2022-01-02,廊坊中通,3.4
YT6227877343194,河北省,2.94,2022-01-02,廊坊中通,3.4
YT6228250862711,河北省,2.95,2022-01-02,廊坊中通,3.4
YT6227667317567,北京,2.96,2022-01-02,廊坊中通,3.9
YT6227663585574,河北省,2.97,2022-01-02,廊坊中通,3.4
YT6227900832280,河北省,2.97,2022-01-02,廊坊中通,3.4
YT9921391683466,山西省,2.97,2022-01-02,廊坊中通,3.4
YT6227662817421,河北省,2.977,2022-01-02,廊坊中通,3.4
YT6227662817575,天津,2.99,2022-01-02,廊坊中通,3.4
YT6227900832116,河北省,2.99,2022-01-02,廊坊中通,3.4
YT6227604311843,河北省,3.01,2022-01-02,廊坊中通,5.3
YT6227877343455,山西省,3.01,2022-01-02,廊坊中通,5.3
YT6227605865870,北京,3.04,2022-01-02,廊坊中通,5.8
YT6227604311940,山西省,3.08,2022-01-02,廊坊中通,5.3
YT6227877460331,天津,3.35,2022-01-02,廊坊中通,5.3
YT9920734013700,北京,3.37,2022-01-02,廊坊中通,5.8
YT9920734046237,天津,3.37,2022-01-02,廊坊中通,5.3
YT9920734042850,河北省,3.39,2022-01-02,廊坊中通,5.3
YT9920729554722,河北省,3.41,2022-01-02,廊坊中通,5.3
YT9920734020759,北京,3.41,2022-01-02,廊坊中通,5.8
YT9920734042572,河北省,3.41,2022-01-02,廊坊中通,5.3
YT6227880329322,北京,3.45,2022-01-02,廊坊中通,5.8
YT9920729581503,天津,3.45,2022-01-02,廊坊中通,5.3
YT6227603759332,河北省,3.46,2022-01-02,廊坊中通,5.3
YT9920734044820,河北省,3.59,2022-01-02,廊坊中通,5.3
YT9920733893169,河北省,3.6,2022-01-02,廊坊中通,5.3
YT9920733917849,河北省,3.6,2022-01-02,廊坊中通,5.3
