单号,area,weight,date,cp
YT6232441705055,吉林省 通化市 辉南县,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232441704988,辽宁省 大连市 金州区,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232442424700,吉林省 长春市 宽城区,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232435642894,辽宁省 鞍山市 岫岩满族自治县,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232434109788,辽宁省 抚顺市 东洲区,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232441704831,吉林省 长春市 宽城区,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232441704744,辽宁省 本溪市 本溪满族自治县,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232441704637,辽宁省 葫芦岛市 连山区,3.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430237526,辽宁省 朝阳市 北票市,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430237464,吉林省 长春市 南关区,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232432564942,吉林省 吉林市 桦甸市,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430237371,吉林省 长春市 南关区,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430237257,吉林省 白山市 临江市,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430237166,黑龙江省 牡丹江市 阳明区,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430237020,辽宁省 葫芦岛市 兴城市,2.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430236904,吉林省 辽源市 龙山区,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430236835,黑龙江省 双鸭山市 饶河县,2.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232430236704,吉林省 吉林市 昌邑区,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT9925221901846,天津 天津市 津南区,3.04,2022-1-4 10:29,DD-廊坊-多多圆通
YT9925221901682,河北省 石家庄市 长安区,3.01,2022-1-4 10:29,DD-廊坊-多多圆通
YT9925221900852,北京 北京市 丰台区,3.01,2022-1-4 10:29,DD-廊坊-多多圆通
YT9925221866800,河北省 唐山市 乐亭县,3.09,2022-1-4 10:29,DD-廊坊-多多圆通
YT9925221903446,北京 北京市 昌平区,3.01,2022-1-4 10:29,DD-廊坊-多多圆通
YT6232404068522,河北省 邯郸市 峰峰矿区,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232404068445,天津 天津市 红桥区,4.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232404068340,山西省 吕梁市 方山县,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232404068243,山西省 临汾市 隰县,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232404068100,河北省 保定市 雄县,2.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232400982497,北京 北京市 丰台区,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232400982366,河北省 邯郸市 武安市,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232397174566,北京 北京市 平谷区,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232396435893,天津 天津市 河东区,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232404068007,北京 北京市 丰台区,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232394107655,山西省 长治市 襄垣县,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232392604887,天津 天津市 和平区,3.01,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232404067910,天津 天津市 西青区,3.19,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232340573855,河北省 保定市 望都县,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232340573749,河北省 张家口市 涿鹿县,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232340573687,河北省 衡水市 安平县,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232349640055,河北省 邢台市 桥东区,1.29,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232347339313,山西省 晋中市 榆次区,4.3,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232349639923,河北省 唐山市 乐亭县,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232340573571,河北省 衡水市 冀州区,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232340573491,山西省 大同市 天镇县,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT6232340573321,河北省 邢台市 沙河市,2.69,2022-1-4 10:29,TM-廊坊-菜鸟圆通
YT9925844833022,山西省 朔州市 朔城区,4.29,2022-1-3 16:45,DD-廊坊-多多圆通
YT6231205963665,河北省 张家口市 阳原县,3.34,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT6231205963548,北京 北京市 海淀区,3.29,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT9925870504883,山西省 朔州市 朔城区,2.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT6231151303477,北京 北京市 海淀区,3.29,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT9925789633527,天津 天津市 蓟州区,4.11,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925789606055,北京 北京市 昌平区,2.11,2022-1-3 16:24,DD-廊坊-多多圆通
YT6231114332292,北京 北京市 昌平区,3.01,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT6231126584525,河北省 廊坊市 霸州市,3.01,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT6231117323981,北京 北京市 昌平区,3.01,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT6231117323862,山西省 朔州市 右玉县,3.01,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT6231117323700,河北省 承德市 双桥区,3.01,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT6231117323623,河北省 保定市 莲池区,2.19,2022-1-3 16:24,TM-廊坊-菜鸟圆通
YT9925838054530,河北省 保定市 涞源县,3.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925838030540,山西省 大同市 灵丘县,3.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925838056170,河北省 保定市 涞源县,3.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925833292490,河北省 邢台市 南宫市,4.3,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925870534297,山西省 大同市 灵丘县,1.79,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925870516458,天津 天津市 蓟州区,1.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925870516643,天津 天津市 蓟州区,1.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT9925870467963,山西省 大同市 天镇县,2.29,2022-1-3 16:24,DD-廊坊-多多圆通
YT9926033893199,河北省 廊坊市 霸州市,4.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9926033885800,河北省 廊坊市 霸州市,4.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9926033900464,河北省 廊坊市 霸州市,4.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9926033897553,河北省 廊坊市 霸州市,4.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9926033877484,河北省 廊坊市 霸州市,4.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9926033862573,河北省 廊坊市 霸州市,4.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9926033883532,河北省 廊坊市 三河市,4.49,2022-1-3 14:04,DD-廊坊-多多圆通
YT6230690427122,天津 天津市 西青区,2.29,2022-1-3 14:05,TM-廊坊-菜鸟圆通
YT6230385737279,北京 北京市 怀柔区,4.3,2022-1-3 14:05,TM-廊坊-菜鸟圆通
YT9919454870225,河北省 保定市 清苑区,3.01,2022-1-3 14:04,DD-廊坊-多多圆通
YT6230373644566,山西省 长治市 沁县,3.01,2022-1-3 14:05,TM-廊坊-菜鸟圆通
YT6230373644466,河北省 张家口市 桥西区,3.01,2022-1-3 14:05,TM-廊坊-菜鸟圆通
YT6230373644345,山西省 晋中市 平遥县,2.19,2022-1-3 14:05,TM-廊坊-菜鸟圆通
YT9919542932850,山西省 阳泉市 城区,3.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9919543103864,山西省 阳泉市 城区,3.29,2022-1-3 14:04,DD-廊坊-多多圆通
YT9919448538786,山西省 晋中市 左权县,4.3,2022-1-3 14:04,DD-廊坊-多多圆通
YT6230258254257,山西省 朔州市 怀仁市,3.89,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6230258254168,河北省 邢台市 清河县,4.29,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6230258254055,山西省 晋中市 介休市,3.29,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6230258253955,河北省 唐山市 玉田县,3.49,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6230258253864,河北省 保定市 清苑区,4.39,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6230258253766,北京 北京市 朝阳区,3.39,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT9919440153666,河北省 保定市 安新县,6.09,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919440170661,河北省 保定市 安新县,6.09,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919663574260,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663603044,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663617786,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663627997,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663633899,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663658472,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663656950,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663647194,黑龙江省 双鸭山市 宝清县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919663880977,黑龙江省 哈尔滨市 尚志市,4.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679016125,河北省 廊坊市 永清县,4.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679245199,山西省 临汾市 汾西县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679229790,天津 天津市 宝坻区,4.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679245390,天津 天津市 津南区,4.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679245730,山西省 临汾市 洪洞县,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679228117,河北省 石家庄市 辛集市,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679234333,北京 北京市 东城区,3.19,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679235104,河北省 石家庄市 藁城区,4.49,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679266655,山西省 忻州市 保德县,4.49,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679276737,河北省 承德市 围场满族蒙古族自治县,4.49,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679242204,北京 北京市 通州区,4.49,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679266485,河北省 张家口市 蔚县,4.49,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679230419,河北省 秦皇岛市 海港区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679261690,北京 北京市 朝阳区,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679276520,北京 北京市 昌平区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679262739,天津 天津市 滨海新区,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679259865,山西省 晋中市 昔阳县,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679289818,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679254677,河北省 廊坊市 霸州市,3.34,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679255780,河北省 保定市 涞源县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679296592,山西省 忻州市 繁峙县,4.49,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679296990,天津 天津市 津南区,4.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679253034,河北省 保定市 涞源县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679297588,河北省 保定市 涞源县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679278164,河北省 保定市 涞源县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679278375,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679322489,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679286151,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679281679,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679318933,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679277891,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679312333,河北省 廊坊市 大城县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679138155,北京 北京市 昌平区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679323686,北京 北京市 昌平区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679302528,北京 北京市 昌平区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679319888,河北省 秦皇岛市 海港区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679313958,河北省 秦皇岛市 海港区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679314151,河北省 秦皇岛市 海港区,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679305997,河北省 石家庄市 辛集市,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679135902,河北省 石家庄市 辛集市,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679307554,河北省 石家庄市 辛集市,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679143199,山西省 临汾市 汾西县,3.29,2022-1-3 11:40,DD-廊坊-多多圆通
YT9919679128332,天津 天津市 滨海新区,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679135548,天津 天津市 津南区,4.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679306312,河北省 唐山市 遵化市,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919679144817,河北省 唐山市 遵化市,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704553828,河北省 廊坊市 大城县,3.29,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704547479,北京 北京市 海淀区,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704556100,河北省 唐山市 遵化市,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704545793,河北省 邯郸市 肥乡区,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704586799,北京 北京市 昌平区,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704544255,山西省 忻州市 五台县,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704617608,山西省 太原市 万柏林区,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704577498,山西省 临汾市 浮山县,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704576391,天津 天津市 河东区,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT9919704614550,河北省 唐山市 路北区,4.3,2022-1-3 11:41,DD-廊坊-多多圆通
YT6229857497091,山西省 太原市 小店区,3.01,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6229857496944,山西省 朔州市 怀仁市,3.01,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6229837416674,北京 北京市 房山区,1.29,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT9919885430883,山西省 太原市 尖草坪区,3.01,2022-1-3 11:41,DD-廊坊-多多圆通
YT6229837416573,天津 天津市 河北区,3.51,2022-1-3 11:42,TM-廊坊-菜鸟圆通
YT6228807254819,山西省 运城市 闻喜县,4.39,2022-1-2 16:44,TM-廊坊-菜鸟圆通
YT6228807254700,山西省 晋城市 沁水县,4.29,2022-1-2 16:44,TM-廊坊-菜鸟圆通
YT6228732649760,天津 天津市 宝坻区,2.69,2022-1-2 16:20,TM-廊坊-菜鸟圆通
YT6228732649679,天津 天津市 蓟州区,2.69,2022-1-2 16:20,TM-廊坊-菜鸟圆通
YT6228737963377,天津 天津市 蓟州区,2.69,2022-1-2 16:20,TM-廊坊-菜鸟圆通
YT6228737963256,山西省 忻州市 五寨县,2.69,2022-1-2 16:20,TM-廊坊-菜鸟圆通
YT6228324582156,山西省 临汾市 翼城县,2.29,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT6228329800466,山西省 忻州市 忻府区,2.74,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT6228329800398,山西省 忻州市 忻府区,2.74,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT6228324582046,河北省 邯郸市 丛台区,4.29,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT6228324581922,北京 北京市 昌平区,2.39,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT6228324581898,河北省 衡水市 桃城区,1.19,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT6228324581795,河北省 邢台市 邢台县,1.39,2022-1-2 14:10,TM-廊坊-菜鸟圆通
YT9920734013700,北京 北京市 大兴区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734042850,河北省 承德市 丰宁满族自治县,3.09,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734035300,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734020759,北京 北京市 丰台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734044283,河北省 邢台市 威县,4.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734026336,北京 北京市 通州区,4.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734033920,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920733917849,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920733893169,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920733875160,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920733885612,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734042572,河北省 唐山市 丰润区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734027859,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734042673,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734044820,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734002335,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734012367,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734046237,天津 天津市 宝坻区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734019542,河北省 邯郸市 邯山区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734000794,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734001177,山西省 太原市 万柏林区,4.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920734000577,河北省 邯郸市 丛台区,3.29,2022-1-2 14:09,DD-廊坊-多多圆通
YT9920729734312,河北省 秦皇岛市 卢龙县,4.3,2022-1-2 14:09,DD-廊坊-多多圆通
